id,model,status,tier,reasoning_type,question,gold_value,gold_unit,source_concept,parsed_model_answer,parse_source,absolute_error,relative_error,api_error
KO-2024-T1-0,google/gemini-2.5-pro,incorrect,T1,direct_retrieval,What were KO's total assets for fiscal year 2024? Answer in USD.,97703000000,USD,Assets,97703000.0,answer_line,97605297000.0,0.999,
WMT-2023-T3-4,openai/gpt-4o-2024-11-20,incorrect,T3,direct_retrieval,"From WMT's FY2023 balance sheet, what were total CURRENT liabilities (not total liabilities)? Answer in USD.",87379000000,USD,LiabilitiesCurrent (distractor: Liabilities),87379000.0,answer_line,87291621000.0,0.999,
KO-2023-T3-6,qwen/qwen-2.5-72b-instruct,incorrect,T3,multi_period_comparison,By how much did KO's total assets change from FY2022 to FY2023? Answer the dollar difference in USD (positive if increased).,-1591000000,USD,Assets delta,-1591000.0,answer_line,1589409000.0,0.999,
KO-2024-T3-6,openai/gpt-4o-2024-11-20,incorrect,T3,multi_period_comparison,By how much did KO's total assets change from FY2023 to FY2024? Answer the dollar difference in USD (positive if increased).,4940000000,USD,Assets delta,4940000.0,answer_line,4935060000.0,0.999,
MSFT-2023-T3-6,openai/gpt-4o-2024-11-20,incorrect,T3,multi_period_comparison,By how much did MSFT's total assets change from FY2022 to FY2023? Answer the dollar difference in USD (positive if increased).,31061000000,USD,Assets delta,31061000.0,answer_line,31029939000.0,0.999,
MSFT-2024-T3-6,openai/gpt-4o-2024-11-20,incorrect,T3,multi_period_comparison,By how much did MSFT's total assets change from FY2023 to FY2024? Answer the dollar difference in USD (positive if increased).,47136000000,USD,Assets delta,47136000.0,answer_line,47088864000.0,0.999,
NVDA-2023-T3-6,openai/gpt-4o-2024-11-20,incorrect,T3,multi_period_comparison,By how much did NVDA's total assets change from FY2022 to FY2023? Answer the dollar difference in USD (positive if increased).,15396000000,USD,Assets delta,15396000.0,answer_line,15380604000.0,0.999,
NVDA-2024-T3-6,openai/gpt-4o-2024-11-20,incorrect,T3,multi_period_comparison,By how much did NVDA's total assets change from FY2023 to FY2024? Answer the dollar difference in USD (positive if increased).,-3005000000,USD,Assets delta,-3005000.0,answer_line,3001995000.0,0.999,
WMT-2023-T3-5,openai/gpt-4o-2024-11-20,incorrect,T3,multi_period_comparison,By how much did WMT's total assets change from FY2022 to FY2023? Answer the dollar difference in USD (positive if increased).,16001000000,USD,Assets delta,16001000.0,answer_line,15984999000.0,0.999,
WMT-2024-T3-5,openai/gpt-4o-2024-11-20,incorrect,T3,multi_period_comparison,By how much did WMT's total assets change from FY2023 to FY2024? Answer the dollar difference in USD (positive if increased).,-7636000000,USD,Assets delta,-7636000.0,answer_line,7628364000.0,0.999,
WMT-2024-T3-5,qwen/qwen-2.5-72b-instruct,incorrect,T3,multi_period_comparison,By how much did WMT's total assets change from FY2023 to FY2024? Answer the dollar difference in USD (positive if increased).,-7636000000,USD,Assets delta,7636000000.0,answer_line,15272000000.0,2.0,
