tier,model,n,correct,accuracy
T1,anthropic/claude-sonnet-4.5,20,20,1.0
T1,google/gemini-2.5-pro,20,19,0.95
T1,openai/gpt-4o-2024-11-20,20,20,1.0
T1,qwen/qwen-2.5-72b-instruct,20,20,1.0
T2,anthropic/claude-sonnet-4.5,28,28,1.0
T2,google/gemini-2.5-pro,28,28,1.0
T2,openai/gpt-4o-2024-11-20,28,28,1.0
T2,qwen/qwen-2.5-72b-instruct,28,28,1.0
T3,anthropic/claude-sonnet-4.5,20,20,1.0
T3,google/gemini-2.5-pro,20,20,1.0
T3,openai/gpt-4o-2024-11-20,20,12,0.6
T3,qwen/qwen-2.5-72b-instruct,20,18,0.9
T1,ALL_MODELS,80,79,0.9875
T2,ALL_MODELS,112,112,1.0
T3,ALL_MODELS,80,70,0.875
ALL_TIERS,anthropic/claude-sonnet-4.5,68,68,1.0
ALL_TIERS,google/gemini-2.5-pro,68,67,0.9853
ALL_TIERS,openai/gpt-4o-2024-11-20,68,60,0.8824
ALL_TIERS,qwen/qwen-2.5-72b-instruct,68,66,0.9706
ALL_TIERS,ALL_MODELS,272,261,0.9596
