dimension,key,model,n,correct,invalid,accuracy
difficulty,T1,anthropic/claude-sonnet-4.5,20,20,0,1.0
difficulty,T1,google/gemini-2.5-pro,20,19,0,0.95
difficulty,T1,openai/gpt-4o-2024-11-20,20,20,0,1.0
difficulty,T1,qwen/qwen-2.5-72b-instruct,20,20,0,1.0
difficulty,T2,anthropic/claude-sonnet-4.5,28,28,0,1.0
difficulty,T2,google/gemini-2.5-pro,28,28,0,1.0
difficulty,T2,openai/gpt-4o-2024-11-20,28,28,0,1.0
difficulty,T2,qwen/qwen-2.5-72b-instruct,28,28,0,1.0
difficulty,T3,anthropic/claude-sonnet-4.5,20,20,0,1.0
difficulty,T3,google/gemini-2.5-pro,20,20,0,1.0
difficulty,T3,openai/gpt-4o-2024-11-20,20,12,0,0.6
difficulty,T3,qwen/qwen-2.5-72b-instruct,20,18,0,0.9
reasoning_type,direct_retrieval,anthropic/claude-sonnet-4.5,30,30,0,1.0
reasoning_type,direct_retrieval,google/gemini-2.5-pro,30,29,0,0.9667
reasoning_type,direct_retrieval,openai/gpt-4o-2024-11-20,30,29,0,0.9667
reasoning_type,direct_retrieval,qwen/qwen-2.5-72b-instruct,30,30,0,1.0
reasoning_type,multi_period_comparison,anthropic/claude-sonnet-4.5,10,10,0,1.0
reasoning_type,multi_period_comparison,google/gemini-2.5-pro,10,10,0,1.0
reasoning_type,multi_period_comparison,openai/gpt-4o-2024-11-20,10,3,0,0.3
reasoning_type,multi_period_comparison,qwen/qwen-2.5-72b-instruct,10,8,0,0.8
reasoning_type,percentage_change,anthropic/claude-sonnet-4.5,10,10,0,1.0
reasoning_type,percentage_change,google/gemini-2.5-pro,10,10,0,1.0
reasoning_type,percentage_change,openai/gpt-4o-2024-11-20,10,10,0,1.0
reasoning_type,percentage_change,qwen/qwen-2.5-72b-instruct,10,10,0,1.0
reasoning_type,ratio,anthropic/claude-sonnet-4.5,18,18,0,1.0
reasoning_type,ratio,google/gemini-2.5-pro,18,18,0,1.0
reasoning_type,ratio,openai/gpt-4o-2024-11-20,18,18,0,1.0
reasoning_type,ratio,qwen/qwen-2.5-72b-instruct,18,18,0,1.0
